what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081816415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081818991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081820041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081821744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081879113
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347081880886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081882343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081882617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081885159
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1347081913254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081933192
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1347081937342
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347081937375
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1347081937488
closed,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1347081937508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081941135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081947183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081948644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081954636
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347081954837
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347081956167
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1347081956170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081957746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081968632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1347081968642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1347081968642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081970647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081993084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081993090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081994908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347081997984
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347082029607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082033169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082033719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082239610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082241625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082554175
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347082555290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347082558965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082560877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082586308
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347082586328
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1347082590112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082590743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082625782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082628593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082720825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082725905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082745989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082747252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082748268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082749880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082751189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082754208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082756364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082759380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082760042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082761778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082761856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082764577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082803814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347082804848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347090684015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347090684117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347090685391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347090686295
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347090686496
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1347090687840
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1347090687840
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1347090687840
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1347090687840
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1347090687841
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1347090687841
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1347090687841
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1347090687841
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1347090687841
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1347090687841
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1347090687841
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1347090687841
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1347090687841
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1347090687841
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1347090687842
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1347090687842
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1347090687842
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1347090687842
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1347090687842
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1347090687842
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1347090687842
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1347090687842
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1347090687842
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1347090687842
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1347090687842
stopped,bundle,org.eclipse.wst.wsi,1.0.401.v201104071820,"org.eclipse.wst.wsi",1347090687842
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1347090687842
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1347090687842
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1347090687843
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1347090687843
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1347090687843
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v201108120600,"org.eclipse.datatools.enablement.hsqldb.ui",1347090687843
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1347090687843
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v201107221506,"org.eclipse.datatools.enablement.postgresql.ui",1347090687843
stopped,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sqlite.ui",1347090687843
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.ui,2.0.1.v201108080010,"org.eclipse.jpt.jpa.eclipselink.ui",1347090687843
stopped,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1347090687843
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.1.v201107221459,"org.eclipse.datatools.connectivity.db.generic.ui",1347090687843
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201107221459,"org.eclipse.datatools.connectivity.apache.derby.ui",1347090687843
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1347090687843
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111204,"org.eclipse.datatools.enablement.sybase.asa.ui",1347090687843
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1347090687843
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090452,"org.eclipse.datatools.enablement.sybase.ui",1347090687843
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.ui",1347090687843
